Date,Open,High,Low,Close,Volume,Adj Close
2014-04-29,84.13,87.2,84.12,86.85,4137500,83.2001
2014-04-30,87.0,87.5,86.49,86.73,6788900,83.0852
2014-05-01,86.73,86.73,86.73,86.73,0,83.0852
2014-05-02,86.99,90.92,86.63,90.31,8007600,86.5147
2014-05-05,90.0,90.12,88.9,90.01,2555300,86.2273
2014-05-06,89.5,91.4,89.01,90.26,3326400,86.4668
2014-05-07,89.51,91.0,89.51,90.76,6339400,86.9458
2014-05-08,90.99,91.69,90.27,91.02,5875100,87.1949
2014-05-09,91.02,92.0,90.3,91.74,3503100,87.8846
2014-05-12,92.0,92.67,91.72,92.34,4540000,88.4594
2014-05-13,92.34,93.0,91.78,92.57,4270300,88.6797
2014-05-14,91.05,92.57,91.04,92.19,3881400,88.3157
2014-05-15,92.17,92.2,89.67,90.32,11253900,86.5243
2014-05-16,90.51,91.8,90.26,91.19,7577100,87.3577
2014-05-19,90.79,93.0,90.78,92.84,26518400,88.9384
2014-05-20,92.99,93.53,92.56,92.77,5656700,88.8713
2014-05-21,93.39,93.79,92.23,92.81,30715000,88.9097
2014-05-22,92.56,93.76,92.27,93.36,8305100,89.4365
2014-05-23,93.36,93.84,93.25,93.75,2647000,89.8102
2014-05-26,93.75,93.88,93.0,93.29,716100,89.3695
2014-05-27,93.4,95.39,93.29,95.2,6646900,91.1992
2014-05-28,95.0,95.49,94.25,94.7,5876800,90.7202
2014-05-29,95.0,95.39,94.5,95.03,2850400,91.0364
2014-05-30,95.18,95.2,92.66,92.98,13439600,89.0725
2014-06-02,94.3,95.85,93.42,94.93,2970200,90.9406
2014-06-03,94.9,94.9,93.31,93.62,11281300,89.6856
2014-06-04,93.59,93.59,92.75,93.0,4058800,89.0917
2014-06-05,93.5,93.82,93.0,93.2,3018100,89.2833
2014-06-06,93.01,94.0,92.98,93.65,6928800,89.7144
2014-06-09,93.97,93.99,93.1,93.76,5258300,89.8197
2014-06-10,93.9,95.07,93.11,94.99,6838000,90.99799999999999
2014-06-11,94.34,95.21,93.91,94.93,5638000,90.9406
2014-06-12,94.6,95.0,94.32,94.86,4108600,90.8735
2014-06-13,94.5,95.4,93.45,94.03,10358200,90.0784
2014-06-16,94.95,94.95,93.22,94.09,3238100,90.1359
2014-06-17,94.49,94.89,93.74,94.59,3695900,90.6149
2014-06-18,94.16,95.28,94.04,95.11,4338700,91.113
2014-06-19,95.29,96.29,94.96,96.04,2473100,92.0039
2014-06-20,95.58,97.0,95.0,96.11,24176300,92.071
2014-06-23,96.05,96.11,95.17,95.64,4101700,91.6207
2014-06-24,95.72,96.0,95.09,95.62,7217000,91.6016
2014-06-25,95.7,95.89,95.01,95.57,3766100,91.5537
2014-06-26,95.4,95.62,93.91,94.32,7830400,90.3562
2014-06-27,94.32,94.69,91.81,92.09,4922500,88.2199
2014-06-30,92.51,93.09,92.11,92.79,4661400,88.8905
2014-07-01,92.98,93.0,91.01,92.1,3728400,88.2295
2014-07-02,92.4,93.69,92.0,93.35,8464200,89.427
2014-07-03,93.0,94.87,93.0,94.61,3109300,90.634
2014-07-04,94.85,94.85,94.0,94.2,433900,90.2412
2014-07-07,94.78,94.78,92.93,93.33,4825000,89.4078
2014-07-08,93.34,94.06,93.21,93.82,4173400,89.8772
2014-07-09,93.5,93.98,91.91,92.12,8094900,88.2487
2014-07-10,92.1,92.2,90.61,91.36,7563000,87.5206
2014-07-11,91.65,91.7,90.4,90.63,4283600,86.8213
2014-07-14,91.25,91.63,90.64,91.24,4263200,87.4056
2014-07-15,91.1,91.79,90.25,90.71,5181700,86.8979
2014-07-16,91.45,91.69,90.66,90.82,3429200,87.0033
2014-07-17,90.73,92.41,90.61,91.7,4768200,87.8463
2014-07-18,91.88,92.85,91.8,92.46,4122600,88.7644
2014-07-21,92.25,92.66,90.8,91.96,2507100,88.2844
2014-07-22,92.0,92.55,91.71,91.88,3928600,88.2076
2014-07-23,92.06,92.06,90.9,91.12,4039200,87.4779
2014-07-24,91.5,91.6,90.36,91.16,6522600,87.5164
2014-07-25,91.17,91.5,89.36,90.08,12778700,86.4795
2014-07-28,90.27,90.99,89.66,90.6,3938600,86.9787
2014-07-29,90.97,90.97,89.91,90.35,3895000,86.7387
2014-07-30,90.36,90.48,89.04,89.3,4480600,85.7307
2014-07-31,89.59,89.59,86.51,87.86,7903300,84.3482
2014-08-01,88.5,90.19,87.65,89.9,5679000,86.3067
2014-08-04,90.19,92.1,89.93,91.9,5623600,88.2268
2014-08-05,91.99,92.52,91.52,91.97,4662800,88.294
2014-08-06,91.91,92.6,91.21,92.49,2109000,88.7932
2014-08-07,92.56,92.56,91.47,91.9,3440300,88.2268
2014-08-08,91.9,92.35,90.61,91.0,2524700,87.3627
2014-08-11,91.05,92.55,91.05,92.39,5096300,88.6972
2014-08-12,91.93,92.84,91.93,92.69,4295900,88.9852
2014-08-13,92.69,93.03,91.72,91.9,7109200,88.2268
2014-08-14,91.7,91.98,90.0,90.07,4225300,86.4699
2014-08-15,90.3,90.55,88.0,88.87,7289300,85.3179
2014-08-18,89.31,89.59,88.3,88.83,3745100,85.2795
2014-08-19,88.8,90.16,88.5,89.91,5266100,86.3163
2014-08-20,89.9,90.85,89.52,90.77,3101100,87.1419
2014-08-21,90.79,91.79,90.5,91.57,3895100,87.91
2014-08-22,91.8,92.0,90.91,91.98,5363200,88.3036
2014-08-25,91.98,91.98,90.91,91.36,4374700,87.7084
2014-08-26,91.85,92.61,91.37,92.43,10228900,88.7356
2014-08-27,92.4,92.99,90.45,90.63,5857000,87.0075
2014-08-28,90.65,91.39,90.63,91.06,3796400,87.4203
2014-08-29,90.88,92.2,90.88,92.05,9566100,88.3708
2014-09-01,92.05,92.11,90.15,90.21,2317400,86.6043
2014-09-02,90.74,90.99,90.0,90.3,6045600,86.6907
2014-09-03,90.3,91.36,90.3,91.11,4356700,87.4683
